batter,player_name,mean_swing_speed,mean_estimated_woba,pitch_count,swing_speed_rank
664983,"McCarthy, Jake",64.09836145985402,0.286221635883905,822,416.0
665019,"Clemens, Kody",69.61303169421488,0.23440350877192984,242,216.0
665161,"Peña, Jeremy",70.45715615517241,0.2906904761904762,1160,155.0
665487,"Tatis Jr., Fernando",72.1291798941799,0.37470194986072425,756,65.0
665489,"Guerrero Jr., Vladimir",74.55479472173913,0.3940699815837937,1150,15.0
665506,"Pache, Cristian",68.73601295652175,0.22067669172932333,345,270.0
665742,"Soto, Juan",72.98625513011152,0.44633898305084746,1076,38.0
665750,"Taveras, Leody",69.03184751101321,0.283647201946472,908,250.0
665804,"Amaya, Miguel",70.86593849315068,0.2771003344481605,657,128.0
665828,"Cabrera, Oswaldo",66.47334251346498,0.26413253012048193,557,364.0
665833,"Cruz, Oneil",76.59705935483872,0.33459038901601834,961,3.0
665839,"Valdez, Enmanuel",68.75428536111112,0.2787730061349693,360,267.0
665862,"Chisholm Jr., Jazz",69.09767029891304,0.27736875,1104,248.0
665926,"Giménez, Andrés",65.83884724033358,0.262948623853211,1319,384.0
665953,"Chaparro, Andrés",70.56604925,0.27770689655172415,280,150.0
666018,"Aranda, Jonathan",68.24902336099586,0.33628,241,294.0
666023,"Fermin, Freddy",68.27283125904486,0.2581342281879195,691,290.0
666134,"Jones, Nolan",68.86490154017858,0.2682319587628866,448,262.0
666135,"Kirilloff, Alex",71.08290347972974,0.28354135338345865,296,113.0
666139,"Lowe, Josh",71.2939582117647,0.2796626865671642,850,101.0
666149,"Fitzgerald, Tyler",67.55082881107492,0.28225978647686834,614,325.0
666150,"Fletcher, Dominic",64.70577544080605,0.24132275132275133,397,409.0
666152,"Hamilton, David",65.3565066228893,0.27172348484848485,533,394.0
666158,"Lux, Gavin",69.66806737089202,0.30310886075949367,852,211.0
666160,"Moniak, Mickey",70.91861017814728,0.27269722222222226,842,125.0
666163,"Rortvedt, Ben",68.00609832129965,0.22721115537848607,554,305.0
666176,"Adell, Jo",74.74855824063565,0.3056760563380282,881,10.0
666181,"Benson, Will",69.65883309392265,0.23283098591549295,724,213.0
666182,"Bichette, Bo",68.55737877374784,0.284643137254902,579,277.0
666185,"Carlson, Dylan",65.8705388030888,0.21862801932367149,518,383.0
666310,"Naylor, Bo",68.38423282970551,0.24166961651917404,781,283.0
666397,"Julien, Edouard",69.83993265934066,0.27711398963730566,455,199.0
666464,"Encarnacion, Jerar",75.06681088607596,0.362377358490566,237,7.0
666624,"Morel, Christopher",74.05561886363635,0.2965586956521739,1056,19.0
666969,"García, Adolis",70.29793725346374,0.268474609375,1227,164.0
666971,"Gurriel Jr., Lourdes",68.71279612182741,0.3039977777777778,985,273.0
667452,"Julks, Corey",69.25864608069163,0.24212727272727272,347,240.0
667670,"Rooker, Brent",71.82404144784174,0.3714748953974895,1112,79.0
668227,"Arozarena, Randy",70.28351583022388,0.2873468085106383,1072,165.0
668670,"Rogers, Jake",69.11468718543047,0.28698625429553265,604,245.0
668709,"Bleday, JJ",69.39602614379085,0.28860510805500983,1071,232.0
668715,"Steer, Spencer",69.805151462307,0.2736492248062016,1101,201.0
