batter,player_name,mean_exit_velo,mean_estimated_woba,pitch_count,exit_velo_rank
670032,"Lopez, Nicky",79.14949494949495,0.27285932721712536,327,385.0
670042,"Raley, Luke",82.92038095238095,0.41357303370786513,267,164.0
670242,"Wallner, Matt",83.825,0.5246799999999999,125,86.0
670541,"Alvarez, Yordan",85.56469165659009,0.4619433551198257,459,16.0
670623,"Paredes, Isaac",82.36153071500503,0.30349543378995436,438,215.0
670764,"Walls, Taylor",80.7638036809816,0.2803116883116883,154,334.0
670770,"Friedl, TJ",80.79636363636364,0.2954112903225806,248,330.0
671056,"Herrera, Iván",84.03892405063291,0.43,177,73.0
671213,"Casas, Triston",83.74869888475837,0.4502015503875969,129,89.0
671218,"Ramos, Heliot",84.6134328358209,0.4363695014662756,341,42.0
671277,"García Jr., Luis",83.01692094313454,0.3811747572815534,412,154.0
671289,"Freeman, Tyler",81.57719999999999,0.2897883211678832,274,280.0
671732,"Butler, Lawrence",83.56609294320138,0.43365562913907285,302,104.0
671739,"Harris II, Michael",84.49556574923547,0.41821590909090905,352,48.0
672275,"Bailey, Patrick",83.31822742474917,0.37710299003322256,301,122.0
672279,"Siani, Michael",76.65479115479116,0.2968390243902439,205,399.0
672284,"Kelenic, Jarred",83.57947269303202,0.41312857142857146,280,102.0
672356,"Arias, Gabriel",83.12338308457711,0.39004950495049506,101,138.0
672386,"Kirk, Alejandro",83.48736462093864,0.3382680412371134,291,111.0
672515,"Moreno, Gabriel",83.3439330543933,0.33952610441767067,249,120.0
672580,"Garcia, Maikel",84.25874704491726,0.3332729124236253,491,57.0
672640,"Lopez, Otto",82.10259067357514,0.35796969696969694,330,238.0
672695,"Perdomo, Geraldo",81.11961165048544,0.2750326086956522,276,314.0
672761,"Pérez, Wenceel",82.35921696574225,0.33819805194805197,308,216.0
672820,"Sosa, Lenyn",82.63988970588235,0.3919379562043796,274,192.0
673237,"Diaz, Yainer",83.35313199105146,0.396801652892562,484,119.0
673357,"Robert Jr., Luis",82.77509881422924,0.39752,250,179.0
673490,"Kim, Ha-Seong",81.32329246935201,0.325258785942492,313,304.0
673548,"Suzuki, Seiya",83.36039886039886,0.44508857142857144,350,117.0
