p_throws,batter,player_name,mean_estimated_woba,pitch_count,pitch_hand_woba_rank
R,656976,"Smith, Pavin",0.40559233333333333,135,18.0
R,657041,"Thomas, Lane",0.29565971707317074,410,509.0
R,657077,"Verdugo, Alex",0.31250553530751707,439,366.0
R,657136,"Wong, Connor",0.27790638787878785,330,620.0
R,657557,"DeJong, Paul",0.30646472067039104,358,416.0
R,657656,"Laureano, Ramón",0.3051564835680752,213,431.0
R,657757,"Sheets, Gavin",0.31868681728395065,405,313.0
R,658668,"Olivares, Edward",0.3323070476190476,105,238.0
R,660271,"Ohtani, Shohei",0.47147287321063397,489,4.0
R,660644,"Bruján, Vidal",0.2569081231527094,203,725.0
R,660670,"Acuña Jr., Ronald",0.34695190909090906,165,152.0
R,660688,"Ruiz, Keibert",0.29414997134670484,349,518.0
R,660707,"Montero, Elehuris",0.25432685555555556,180,734.0
R,660766,"Yepez, Juan",0.30534770624999996,160,426.0
R,660821,"Sánchez, Jesús",0.37053037740384615,416,63.0
R,661388,"Contreras, William",0.363997107421875,512,88.0
R,662139,"Varsho, Daulton",0.2630187568922306,399,698.0
R,663368,"Perkins, Blake",0.2827192924187725,277,591.0
R,663457,"Nootbaar, Lars",0.36935487372013653,293,66.0
R,663527,"Nevin, Tyler",0.2708979391891892,148,664.0
R,663538,"Hoerner, Nico",0.30534400200803213,498,427.0
R,663550,"Cabbage, Trey",0.27696090476190477,84,633.0
R,663586,"Riley, Austin",0.3613495333333333,345,99.0
R,663616,"Larnach, Trevor",0.353870648,375,122.0
R,663624,"Mountcastle, Ryan",0.3153987671232877,365,339.0
R,663647,"Hayes, Ke'Bryan",0.2565440680272109,294,726.0
R,663656,"Tucker, Kyle",0.42838291346153845,208,10.0
R,663662,"Cameron, Daz",0.26041585,100,708.0
R,663697,"India, Jonathan",0.3495935274725275,455,141.0
R,663698,"Bart, Joey",0.3144096763285024,207,347.0
R,663728,"Raleigh, Cal",0.35037170627802694,446,138.0
R,663743,"Fortes, Nick",0.24387072522522524,222,759.0
R,663757,"Grisham, Trent",0.3151818424242424,165,342.0
R,663837,"Vierling, Matt",0.29819840825688076,436,480.0
R,663853,"Gonzalez, Romy",0.22975733720930233,86,782.0
R,663886,"Stephenson, Tyler",0.31634405913978497,372,327.0
R,663898,"Rodgers, Brendan",0.2951227454545455,385,511.0
R,663993,"Lowe, Nathaniel",0.32987094736842104,418,251.0
R,664023,"Happ, Ian",0.3670620693877551,490,75.0
R,664034,"France, Ty",0.29734226582278483,395,488.0
R,664040,"Lowe, Brandon",0.3458400730994152,342,156.0
R,664056,"Bader, Harrison",0.2843424315789474,285,585.0
R,664238,"Moore, Dylan",0.2851701832061069,262,581.0
R,664314,"Florial, Estevan",0.24738446739130437,92,752.0
R,664728,"Isbel, Kyle",0.2926928088642659,361,532.0
R,664761,"Bohm, Alec",0.33347044289044286,429,225.0
R,664770,"Lukes, Nathan",0.342824972972973,74,172.0
R,664774,"Wade Jr., LaMonte",0.3516423612716763,346,132.0
R,664901,"Mendick, Danny",0.2217672159090909,88,789.0
