batter,player_name,mean_estimated_woba,pitch_count,risp_woba_rank
681351,"O'Hoppe, Logan",0.37943178448275866,116,40.0
681393,"Norby, Connor",0.30234144680851066,47,221.0
681481,"Carpenter, Kerry",0.3888290561797753,89,30.0
681624,"Pages, Andy",0.3202844912280701,114,169.0
681807,"Fry, David",0.3322467398373984,123,132.0
682177,"Schneemann, Daniel",0.2546859655172414,58,361.0
682622,"Marte, Noelvi",0.20538098245614037,57,394.0
682626,"Alvarez, Francisco",0.29864453278688524,122,238.0
682641,"Matos, Luis",0.27897826086956523,46,307.0
682829,"De La Cruz, Elly",0.3484483422818792,149,92.0
682928,"Abrams, CJ",0.3039325652173913,138,217.0
682985,"Greene, Riley",0.3342237647058824,136,128.0
682998,"Carroll, Corbin",0.3059583481012658,158,206.0
683002,"Henderson, Gunnar",0.3668627094594595,148,56.0
683011,"Volpe, Anthony",0.29402644137931033,145,261.0
683146,"Baty, Brett",0.29709834782608696,46,247.0
683734,"Vaughn, Andrew",0.2997649225806452,155,232.0
683737,"Busch, Michael",0.3072034928571428,140,200.0
686217,"Frelick, Sal",0.3021743937007874,127,223.0
686469,"Pasquantino, Vinnie",0.3465487005988024,167,99.0
686527,"Canzone, Dominic",0.21938591666666665,48,385.0
686668,"Doyle, Brenton",0.375966652892562,121,42.0
686676,"Lee, Korey",0.2188080731707317,82,387.0
686681,"Massey, Michael",0.2969571153846154,78,248.0
686780,"Pagés, Pedro",0.2556183888888889,54,359.0
686797,"Lee, Brooks",0.33910669811320754,53,116.0
686823,"Brennan, Will",0.2943057307692308,78,257.0
687263,"Neto, Zach",0.3895962442748092,131,29.0
687401,"Ortiz, Joey",0.28973902290076337,131,274.0
687462,"Horwitz, Spencer",0.29937806666666666,90,234.0
687597,"Beck, Jordan",0.24201523404255318,47,371.0
687952,"Encarnacion-Strand, Christian",0.26382926829268294,41,343.0
689172,"Wisely, Brett",0.2700096323529412,68,329.0
690993,"Keith, Colt",0.29266587121212123,132,263.0
691016,"Soderstrom, Tyler",0.19811815094339622,53,395.0
691023,"Walker, Jordan",0.22963694,50,377.0
691026,"Winn, Masyn",0.25040709420289853,138,368.0
691718,"Crow-Armstrong, Pete",0.31536028155339807,103,187.0
693304,"Gonzales, Nick",0.33352241935483873,93,129.0
694192,"Chourio, Jackson",0.3244898461538462,143,155.0
694384,"Schanuel, Nolan",0.3252236301369863,146,152.0
694388,"Loperfido, Joey",0.23437256521739133,69,375.0
694671,"Langford, Wyatt",0.35199453146853144,143,84.0
695578,"Wood, James",0.3627374431818182,88,63.0
696100,"Goodman, Hunter",0.349285131147541,61,90.0
696285,"Young, Jacob",0.30548393805309737,113,210.0
700242,"Sweeney, Trey",0.2660785,44,338.0
700250,"Rice, Ben",0.3538917,50,78.0
701538,"Merrill, Jackson",0.3538442013422819,149,79.0
702358,"Lipscomb, Trey",0.2583456551724138,58,351.0
702616,"Holliday, Jackson",0.3192899074074074,54,174.0
807799,"Yoshida, Masataka",0.3563875283018868,106,73.0
